player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Fernández Aitor,esESP,1.0,Osasuna,33,1991,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Fernández Álvaro,esESP,1.0,Sevilla,26,1998,8.3,2,0,0,0,2,0,0,0,0,,,0,Matches
Fernandez Pelayo,esESP,2.0,Rayo Vallecano,21,2003,1.1,1,0,0,2,0,0,0,2,0,,,0,Matches
Férnandez Roberto,esESP,4.0,Espanyol,22,2002,16.6,1,0,0,28,25,9,2,3,4,,,0,Matches
Fernández Valery,esESP,3.0,Mallorca,24,1999,3.4,1,0,0,3,1,1,4,0,7,,,0,Matches
Ferreira André,ptPOR,1.0,Valladolid,28,1996,6.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Flores Mateo,esESP,3.0,Real Betis,20,2004,1.7,1,0,0,4,1,0,1,2,2,,,0,Matches
Fornals Pablo,esESP,3.0,Real Betis,28,1996,20.3,2,0,0,12,14,3,56,25,13,,,0,Matches
Fort Héctor,esESP,2.0,Barcelona,17,2006,6.5,2,0,0,8,1,0,12,9,8,,,0,Matches
Foulquier Dimitri,frFRA,2.0,Valencia,31,1993,25.5,6,0,0,24,31,1,57,17,31,,,0,Matches
Foyth Juan,arARG,2.0,Villarreal,26,1998,16.9,4,0,0,16,5,0,4,19,14,,,0,Matches
Fran,esESP,1.0,Real Madrid,19,2005,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Francés Alejandro,esESP,2.0,Girona,21,2002,13.0,2,0,0,20,14,1,26,18,24,,,0,Matches
Franquesa Enric,esESP,2.4,Leganés,27,1997,6.8,1,0,0,8,6,0,16,4,9,,,0,Matches
Frutos Jorge,esESP,3.4,Rayo Vallecano,27,1997,27.7,3,1,0,41,33,9,68,18,20,,,0,Matches
Fuentes Darío,esESP,2.0,Sevilla,21,2003,0.1,1,0,0,0,0,0,0,0,0,,,0,Matches
Fuster Manuel,esESP,3.4,Las Palmas,26,1997,11.1,2,0,0,12,37,1,66,4,11,,,0,Matches
Galán Javi,esESP,2.0,Atlético Madrid,29,1994,19.8,8,0,0,38,35,4,57,11,32,,,0,Matches
Galarreta Iñigo Ruiz,esESP,3.0,Athletic Club,30,1993,16.4,5,0,0,43,17,1,28,14,22,,,0,Matches
Gallagher Conor,engENG,3.0,Atlético Madrid,24,2000,18.1,2,0,0,32,39,1,13,20,32,,,0,Matches
Garcés Facundo,myMAS,2.0,Alavés,24,1999,7.5,2,0,0,7,2,0,1,6,2,,,0,Matches
García Álvaro,esESP,3.4,Rayo Vallecano,31,1992,28.4,4,0,0,18,19,16,108,35,23,,,0,Matches
García Eric,esESP,2.3,Barcelona,23,2001,17.4,4,0,0,20,8,0,6,18,21,,,0,Matches
Garcia Fran,esESP,2.0,Real Madrid,24,1999,24.1,0,0,0,13,22,4,66,29,36,,,0,Matches
García Gonzalo,esESP,3.0,Real Madrid,20,2004,0.6,0,0,0,0,0,0,0,0,0,,,0,Matches
García Joan,esESP,1.0,Espanyol,23,2001,38.0,2,0,0,0,7,0,0,0,1,,,0,Matches
Garcia Pablo,esESP,4.0,Real Betis,18,2006,0.4,0,0,0,0,0,1,2,0,0,,,0,Matches
García Rubén,esESP,3.5,Osasuna,31,1993,26.8,2,0,0,36,31,10,135,17,31,,,0,Matches
García Unai,esESP,2.0,Osasuna,32,1992,0.7,0,0,0,3,3,0,0,0,0,,,0,Matches
Gasiorowski Yarek,esESP,2.0,Valencia,19,2005,10.5,1,0,0,5,2,0,3,26,16,,,0,Matches
Gavi,esESP,3.0,Barcelona,19,2004,12.1,4,0,0,38,27,1,8,10,23,,,0,Matches
Gazzaniga Paulo,arARG,1.0,Girona,32,1992,35.5,4,0,0,1,3,0,0,0,1,,,0,Matches
Gil Bryan,esESP,3.4,Girona,23,2001,19.1,4,0,0,22,40,4,78,12,20,,,0,Matches
Gómez Dani,esESP,4.0,Valencia,26,1998,5.9,0,0,0,7,8,10,1,3,1,,,0,Matches
Gómez Moi,esESP,3.4,Osasuna,30,1994,8.8,1,0,0,14,6,1,26,7,9,,,1,Matches
Gómez Sergi,esESP,2.0,Espanyol,32,1992,7.4,1,0,0,6,1,0,1,7,5,,,0,Matches
Gómez Sergio,esESP,3.0,Real Sociedad,23,2000,30.4,4,0,0,29,16,9,230,19,39,,,0,Matches
Gómez Unai,esESP,3.4,Athletic Club,21,2003,14.3,1,0,0,11,18,0,23,2,8,,,0,Matches
González Fabio,esESP,3.0,Las Palmas,27,1997,0.6,0,0,0,1,0,0,1,0,0,,,0,Matches
González Peter,doDOM,3.0,Getafe,22,2002,5.3,1,0,0,9,10,2,14,3,6,,,0,Matches
González Urko,esESP,3.0,Espanyol,23,2001,15.3,2,0,0,15,11,1,3,8,26,,,0,Matches
