player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Gueye Makhtar,snSEN,4.0,RWDM,25,1997,28.6,10,2,2,62,26,22,7,8,15,,,0,Matches
Guiagon Parfait,ciCIV,3.4,Charleroi,22,2001,20.6,1,0,0,21,34,0,9,6,21,,,0,Matches
Gümüskaya Muhammed,trTUR,3.0,Westerlo,22,2001,0.9,0,0,0,1,3,0,3,1,0,,,0,Matches
Habib Guèye Pape,snSEN,4.0,Kortrijk,23,1999,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Hadj Anouar Ait,beBEL,3.4,Genk,21,2002,9.0,2,0,0,10,6,3,22,1,13,,,0,Matches
Haidara Bakary,ciCIV,2.0,Westerlo,18,2005,4.3,5,1,1,6,2,0,0,8,4,,,0,Matches
Hairemans Geoffry,beBEL,3.4,Mechelen,31,1991,27.6,2,0,0,30,30,3,153,18,25,,,0,Matches
Hashioka Daiki,jpJPN,3.0,Sint-Truiden,24,1999,16.7,4,0,0,13,15,5,44,18,19,,,0,Matches
Haspolat Dogucan,trTUR,3.0,Westerlo,23,2000,12.6,5,0,0,16,19,1,62,19,16,,,0,Matches
Hautekiet Ibe,beBEL,2.0,Standard Liège,21,2002,1.6,0,0,0,0,0,0,1,2,1,,,0,Matches
Hayden Isaac,jmJAM,3.0,Standard Liège,28,1995,7.4,3,0,0,8,8,0,0,10,12,,,0,Matches
Hazard Thorgan,beBEL,4.0,Anderlecht,30,1993,17.5,7,0,0,30,30,10,67,8,39,,,0,Matches
Henen David,tgTOG,3.0,Kortrijk,27,1996,2.9,0,0,0,1,3,1,4,0,4,,,0,Matches
Henkinet Laurent,beBEL,1.0,Standard Liège,30,1992,1.0,0,0,0,0,0,0,0,0,1,,,0,Matches
Heris Jonathan,beBEL,2.3,RWDM,32,1990,9.7,3,0,0,11,9,1,15,20,13,,,0,Matches
Heymans Daan,beBEL,3.0,Charleroi,24,1999,24.5,7,0,0,42,17,3,31,18,30,,,0,Matches
Heynen Bryan,beBEL,3.0,Genk,26,1997,23.5,4,1,1,30,28,2,18,28,30,,,0,Matches
Hjulsager Andrew,dkDEN,3.4,Gent,28,1995,9.5,2,0,0,19,12,0,50,5,19,,,0,Matches
Holzhauser Raphael,atAUT,3.0,OH Leuven,30,1993,0.8,0,0,0,1,0,0,7,1,1,,,0,Matches
Homma Shion,jpJPN,3.0,Club Brugge,22,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Hrošovský Patrik,skSVK,3.0,Genk,31,1992,33.2,4,0,0,19,33,0,51,26,26,,,0,Matches
Hubert Guillaume,beBEL,1.0,RWDM,29,1994,6.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Huygevelde Nathan,beBEL,3.0,Union SG,19,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Hyunseok Hong,krKOR,3.0,Gent,24,1999,25.0,1,0,0,14,25,2,98,23,23,,,0,Matches
Idrissy Mounaim,frFRA,3.4,Kortrijk,24,1999,9.3,5,0,0,24,37,2,15,11,9,,,0,Matches
Ilaimaharitra Marco,mgMAD,3.0,Charleroi,28,1995,24.2,8,1,0,34,39,1,59,26,41,,,0,Matches
Ilenikhena George,ngNGA,4.0,Antwerp,16,2006,16.3,2,0,0,18,20,13,3,0,1,,,0,Matches
Imbrechts Joachim,seSWE,1.0,Union SG,21,2001,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Ito Ryotaro,jpJPN,3.0,Sint-Truiden,25,1998,27.6,0,0,0,14,27,3,43,13,11,,,0,Matches
Jackers Nordin,beBEL,1.0,Club Brugge,25,1997,8.9,0,0,0,0,5,0,0,0,1,,,0,Matches
Janssen Vincent,nlNED,3.5,Antwerp,29,1994,31.4,9,0,0,53,50,19,17,8,19,,,0,Matches
Janssens Wolke,beBEL,2.0,Sint-Truiden,28,1995,8.6,6,0,0,15,6,0,0,15,25,,,0,Matches
Jordanov Edisson,bgBUL,2.3,Westerlo,30,1993,8.1,5,0,0,12,7,1,19,8,22,,,0,Matches
Jutglà Ferran,esESP,3.5,Club Brugge,24,1999,19.7,1,0,0,19,34,5,27,5,12,,,0,Matches
Kabangu Elton,beBEL,3.5,Union SG,25,1998,1.7,0,0,0,4,1,4,4,0,6,,,0,Matches
Kader Yaméogo Abdoul,ciCIV,2.0,Club Brugge,18,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Kadri Abdelkahar,dzALG,3.0,Kortrijk,23,2000,31.1,6,0,0,30,62,6,156,34,47,,,0,Matches
Kana Marco,beBEL,2.3,Anderlecht,20,2002,0.2,0,0,0,0,0,0,0,1,0,,,0,Matches
Kana Marco,beBEL,2.4,Kortrijk,20,2002,16.7,6,1,1,12,7,0,7,32,24,,,0,Matches
Kandouss Ismaël,maMAR,2.0,Gent,25,1997,28.7,5,1,0,25,18,6,6,30,41,,,0,Matches
Kanga Wilfried,ciCIV,4.0,Standard Liège,25,1998,34.7,5,0,0,51,35,32,28,4,5,,,0,Matches
Kangwa Kings,zmZAM,3.0,Kortrijk,24,1999,6.5,0,0,0,2,9,0,11,4,9,,,0,Matches
Karetsas Konstantinos,grGRE,3.0,Genk,15,2007,1.0,0,0,0,1,4,1,6,0,1,,,0,Matches
